Registro,Nombre del Buque,Longitud del Buque (Eslora),Muelle Asignado,Retraso Estimado (Horas)
29746,CHIARA,61.56,Fondeo no comercial,366.71
29748,DON MARIO,50.43,Fondeo no comercial,447.9
29742,JO LINDA,45.5,Marginal,242.59
29744,SEA TUNA I,64.7,Fondeo no comercial,648.32
28739,PERLA DEL MAR,62.75,Internacional,527.01
28740,DOÑA ROGE,56.97,Fondeo no comercial,314.89
28738,TARQUI,49.08,Marginal,125.46
28742,ALINA,53.85,Fondeo no comercial,9.61
28741,BELOUVE,79.8,Fondeo no comercial,4268.49
28735,BERNARDITA B,34.98,Marginal,218.44
29743,ANDES IV,88.1,Fondeo no comercial,32.22
28737,EL CONDE,33.33,Marginal,8.82
28733,CAP. DANNY B,34.98,Marginal,195.84
28736,DON F,63.24,Fondeo no comercial,293.71
28734,DOÑA NANCY,35.94,Marginal,340.21
28732,JORGE MARIO,56.2,Fondeo no comercial,245.68
26670,MIRY ANN  D,50.04,Fondeo no comercial,148.66
27732,MARIA JOSE,60.04,Fondeo no comercial,50.43
26727,NORTH QUEEN,35.87,Fondeo no comercial,119.58
27731,CARMEN D,44.42,Fondeo no comercial,4.1
26729,ARIETE,46.0,Marginal,168.47
27730,TUNAMAR,76.75,Fondeo no comercial,-2.49
26725,ANDREA,33.95,Fondeo no comercial,143.34
26728,DIANA MARIA,36.66,Marginal,145.83
26717,MALULA,55.17,Fondeo no comercial,237.38
29747,TUNA II,54.25,Fondeo no comercial,2739.43
26726,DOMINADOR I,46.88,Marginal,147.93
26723,CANAIMA,71.0,Fondeo no comercial,320.71
26718,CAP. BERNY B,65.1,Internacional,265.98
26722,ALDO,47.85,Fondeo no comercial,531.42
26721,TXOPITUNA,67.38,Fondeo no comercial,50.54
26720,DOÑA LUCIA,69.02,Fondeo no comercial,33.48
26719,FORTICA,33.28,Fondeo no comercial,29.12
26714,BELLE ISLE,79.7,Fondeo no comercial,3361.84
26716,JORGE MARIO,56.2,Fondeo no comercial,163.45
26712,JOSELITO,32.56,Marginal,235.27
26709,MARY LYNN,33.46,Marginal,100.55
26724,CARMEN D,44.42,Fondeo no comercial,191.4
26711,EL CONDE,33.33,Marginal,266.22
26710,SOUTHERN QUEEN,36.8,Marginal,99.98
26674,ARIETE,46.0,Marginal,193.95
26657,MARIA FATIMA,32.4,Marginal,337.2
26676,ANDREA D,63.24,Fondeo no comercial,505.95
26671,CAP. TINO B,34.98,Marginal,255.64
26673,CHIARA,61.56,Fondeo no comercial,182.06
26664,CAP. BERNY B,65.1,Fondeo no comercial,219.62
26667,GIULIETTA,61.56,Fondeo no comercial,320.4
26668,CHARO,86.79,Fondeo no comercial,258.71
26669,REINA DE LA PAZ,91.0,Fondeo no comercial,29.17
26666,DON F,63.24,Fondeo no comercial,17.57
26665,LIZI,67.29,Fondeo no comercial,199.69
26663,DIANA MARIA,36.66,Marginal,8.53
26656,EILEEN MARIE,51.6,Marginal,820.59
26662,NORTH QUEEN,35.87,Fondeo no comercial,243.86
26660,TEMPLARIO I,65.26,Fondeo no comercial,149.54
26661,MARTINA C,72.1,Fondeo no comercial,104.17
26658,ROSITA C,84.0,Fondeo no comercial,168.11
26653,FUJI,56.54,Fondeo no comercial,313.32
26650,GINO D,53.45,Fondeo no comercial,487.28
26655,MARIA DE GRACIA,36.58,Fondeo no comercial,26.19
26654,CANAIMA,71.0,Fondeo no comercial,169.72
26652,TXOPITUNA DOS,67.44,Fondeo no comercial,75.08
26644,SOUTHERN QUEEN,36.8,Marginal,101.77
26647,DOÑA TULA,48.0,Fondeo no comercial,136.32
26648,TIUNA,61.96,Fondeo no comercial,19.63
26651,SUNBIRD,146.5,Fondeo no comercial,32.04
26643,GLORIA C,31.45,Fondeo no comercial,576.15
26645,ROSSANA L,55.17,Fondeo no comercial,165.47
26642,DON ANTONIO,38.91,Marginal,822.71
26646,JORGE MARIO,56.2,Fondeo no comercial,65.89
26639,CAP. DANNY B,34.98,Marginal,97.91
26640,BERNARDITA B,34.98,Marginal,121.8
26641,JORGE MARIO,56.2,Fondeo no comercial,41.23
26637,DON ALVARO,39.74,Marginal,601.37
26638,ANDREA,33.95,Marginal,94.05
26636,LIZANNY Z,55.68,Fondeo no comercial,55.02
26635,MIRANDA,63.61,Fondeo no comercial,31.37
26634,DOÑA ROGE,56.97,Fondeo no comercial,48.9
26649,ORINOCO II,75.58,Fondeo no comercial,33.57
25633,DOÑA NANCY,35.94,Marginal,329.64
25615,ANDREA D,63.24,Fondeo no comercial,9.19
25612,DON BARTOLO,50.04,Fondeo no comercial,145.26
25609,PESCATUN I,58.0,Fondeo no comercial,175.23
25611,VENTUARI,67.68,Fondeo no comercial,464.78
25610,JUAN PABLO II.,93.0,Fondeo no comercial,541.48
25608,ESTHERCHO,51.6,Fondeo no comercial,246.26
25607,DOÑA LUCIA,69.02,Fondeo no comercial,47.1
25606,MARIA JOSE,60.04,Fondeo no comercial,219.0
25602,TXOPITUNA,67.38,Fondeo no comercial,76.64
25601,JO LINDA,45.5,Fondeo no comercial,557.27
25603,ISABELLA,62.4,Fondeo no comercial,969.8
25593,MALULA,55.17,Fondeo no comercial,151.13
25598,LUCY,42.63,Marginal,444.13
25600,L JUBICA,89.28,Fondeo no comercial,43.81
25594,LIZANNY Z,55.68,Fondeo no comercial,97.61
25599,DOÑA NANCY,35.94,Fondeo no comercial,21.59
25597,DON IGILIO,62.96,Fondeo no comercial,247.09
25588,CAP. TINO B,34.98,Marginal,176.27
25592,DIANA MARIA,36.66,Marginal,202.16
25595,JOSELITO,32.56,Fondeo no comercial,234.93
25587,SOUTHERN QUEEN,36.8,Marginal,172.26
25596,FUJI,56.54,Fondeo no comercial,193.1
25591,ROCIO,71.5,Fondeo no comercial,748.36
25589,ALESSIA,56.9,Fondeo no comercial,339.04
25590,HELLAS TUNA,82.63,Fondeo no comercial,203.0
25604,CANAIMA,71.0,Fondeo no comercial,124.02
25586,CHIARA,61.56,Fondeo no comercial,151.94
25584,POURQUOI PAS,107.6,Internacional,1.08
25585,PS-1,56.8,Fondeo no comercial,196.24
25583,GLORIA C,31.45,Fondeo no comercial,383.62
25581,NORTH QUEEN,35.87,Marginal,262.8
25582,DOMINADOR I,46.88,Marginal,26.79
25578,ROSSANA L,55.17,Fondeo no comercial,170.65
25579,TUNAMAR,76.75,Fondeo no comercial,249.89
25580,DOÑA MARUJA,48.5,Fondeo no comercial,72.89
25571,DOÑA TULA,48.0,Fondeo no comercial,100.66
25577,TUNAPESCA,66.44,Fondeo no comercial,56.93
25576,CONNIE JEAN TWO,45.75,Fondeo no comercial,272.31
25575,EILEEN MARIE,51.6,Fondeo no comercial,49.88
25550,ARIETE,46.0,Marginal,121.64
25549,POURQUOI PAS,107.6,Internacional,-3.32
25547,VIRGEN DEL VALLE,25.78,Marginal,-2.67
25546,BETTY ELIZABETH,34.19,Fondeo no comercial,168.45
25545,EL DORADO,41.76,Marginal,649.99
25541,JO LINDA,45.5,Fondeo no comercial,34.65
25544,ALIZE,51.5,Marginal,2825.22
25535,ANDREA,33.95,Marginal,95.12
25534,GOLD TUNA,56.35,Fondeo no comercial,3646.76
25542,AMERICAN EAGLE,59.87,Fondeo no comercial,33.9
25540,EILEEN MARIE,51.6,Fondeo no comercial,457.66
25539,CHASCA,39.87,Fondeo no comercial,2776.36
25538,CANAIMA,71.0,Fondeo no comercial,290.56
25543,ANDREA 1,78.8,Fondeo no comercial,25.67
25548,DIANA MARIA,36.66,Marginal,18.42
25537,ALINA,53.85,Fondeo no comercial,27.55
25536,FORTICA,33.28,Fondeo no comercial,2012.58
25532,CAP. TINO B,34.98,Marginal,122.49
25533,ANDES IV,88.1,Fondeo no comercial,10.88
25531,DOMINADOR I,46.88,Marginal,572.26
25527,COSMOS,48.55,Marginal,116.61
25514,KENY,55.97,Marginal,216.03
25528,CONNIE JEAN TWO,45.75,Fondeo no comercial,135.72
25529,CHASCA,39.87,Marginal,48.55
25526,LIZANNY Z,55.68,Fondeo no comercial,126.0
25524,DON MARIO,50.43,Marginal,266.5
25496,ARIETE,46.0,Marginal,151.45
25494,PESCATUN I,58.0,Fondeo no comercial,797.62
25495,JO LINDA,45.5,Marginal,224.95
25500,NATALY,69.6,Fondeo no comercial,460.86
25491,BERNARDITA B,34.98,Marginal,153.62
25493,ALTAR 21,48.0,Fondeo no comercial,4034.87
25492,UPAR,60.07,Fondeo no comercial,154.09
25490,LIZI,67.29,Fondeo no comercial,243.59
25487,ALTAR 8,53.51,Fondeo no comercial,2987.18
25489,ROCIO,71.5,Fondeo no comercial,174.04
25488,HELLAS TUNA,82.63,Fondeo no comercial,1000.9
25483,DOÑA LUCIA,69.02,Fondeo no comercial,1377.02
25485,PS-1,56.8,Fondeo no comercial,199.82
25484,KONTIKI WAYRA,38.25,Marginal,41.15
25501,KONTIKI WAYRA,38.25,Fondeo no comercial,97.85
25486,MONTECRISTI,41.1,Fondeo no comercial,1012.18
25482,ALMIRANTE I,66.0,Fondeo no comercial,693.6
25479,LUCY,42.63,Marginal,846.92
25476,ALESSIA,56.9,Fondeo no comercial,82.09
25474,DON ALVARO,39.74,Marginal,1106.33
25469,PACIFIC TUNA,68.83,Fondeo no comercial,921.31
25470,CAP. TINO B,34.98,Marginal,218.74
25480,RIO AMAZONAS,120.0,Fondeo no comercial,2387.62
25481,EASTERN PACIFIC,42.59,Fondeo no comercial,96.6
25475,VENTUARI,67.68,Fondeo no comercial,381.36
25473,TXOPITUNA,67.38,Fondeo no comercial,34.48
25471,TUNAPESCA,66.44,Fondeo no comercial,417.98
25468,MARIA FATIMA,32.4,Marginal,362.2
25467,SANDRA C,60.0,Fondeo no comercial,1107.34
25466,ANDREA,33.95,Marginal,391.5
25465,DOÑA MARUJA,48.5,Fondeo no comercial,101.06
25464,EL DORADO,41.76,Marginal,672.32
25463,JOSELITO,32.56,Marginal,1059.72
25462,MIRY ANN  D,50.04,Marginal,1226.6
25460,MARY LYNN,33.46,Marginal,474.94
25461,ADRIA DEL MAR,60.28,Fondeo no comercial,130.6
25459,DON MARIO,50.43,Marginal,341.52
25458,DOMINADOR I,46.88,Marginal,406.62
25457,JO LINDA,45.5,Marginal,99.24
25444,VALENTINA C,82.13,Fondeo no comercial,1314.15
25443,ISABELLA,62.4,Fondeo no comercial,115.1
25441,ARIETE,46.0,Marginal,102.91
25440,NATALY,69.6,Fondeo no comercial,220.08
24437,ANDREA,33.95,Marginal,95.86
24440,CHASCA,39.87,Fondeo no comercial,1083.9
24436,ARCANGEL SAN MIGUEL,25.78,Marginal,17.32
24439,EL DORADO,41.76,Marginal,77.57
24438,TUNAPESCA,66.44,Fondeo no comercial,205.04
24435,LUCIA T,52.52,Fondeo no comercial,221.07
